Funding Agency,Implementing Partner - Type,Implementing Partner - Country,Implementing Partner - DUNS Number,Award - Interagency Transfer Status,Award - Title,Award - Benefitting Location,Award - Status,Award - Total Estimated Value,Award - Signing Date,Award - Start Date,Award - End Date,Transaction - Description,Transaction - Value,Transaction - Date,Transaction - Fiscal Year,Transaction - Quarter,Transaction - Type,Transaction - Finance Type,Transaction - Aid Type,Transaction  - Tied Status,Transaction - DAC Purpose Code Name,Transaction - U.S. Foreign Assistance Category,Treasury Account - Starting Fiscal Year,Treasury Account - Ending Fiscal Year,Submission Date to FA.gov
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,34073.64,9/30/13,2013,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,9/30/13
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/16,9/30/17,,495631.5,9/30/17,2017,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/17
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,3640000,4/1/14,3/31/14,9/30/20,,237545.07,9/30/16,2016,4,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,9/30/16
U.S. Agency for International Development,National NGO,United States,Information Redacted,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Finalisation,3095387,,10/1/18,9/30/19,,3095387,9/30/19,2019,4,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
U.S. Agency for International Development,National NGO,United States,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,0,8/31/15,8/31/15,9/30/20,,875000,3/31/19,2019,2,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2018,2019,3/31/19
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,44973.48,3/31/18,2018,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2016,2017,3/31/18
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,185906,3/31/19,2019,2,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,3/31/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,30000,6/30/15,2015,3,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2013,2014,6/30/15
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,14000,7/1/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,10/21/19
U.S. Agency for International Development,,,790238638,Direct Appropriation,Administration and Oversight,Venezuela,Implementation,0,,10/1/14,9/30/19,,15502.41,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,6/30/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,2250000,4/1/14,3/31/14,9/30/20,,29249.5,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,12/31/18
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/16,9/30/17,,-1004.45,6/30/17,2017,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/17
U.S. Agency for International Development,Private Sector,,867714768,Direct Appropriation,Task order for FEWS NET FY17 activities and bridge for FEWS NET7,Venezuela,Implementation,0,12/5/16,12/9/11,7/1/19,,55000,3/31/17,2017,2,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,3/31/17
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,975000,8/31/15,8/31/15,9/30/20,,83545,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,6/30/18
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions - Voluntary Contributions",Venezuela,,0,,,,Original - VOLUNTARY CONTRIBUTIONS,750000,10/9/17,2018,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,0,4/1/14,3/31/14,3/31/20,,196946,9/30/15,2015,4,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2014,2015,9/30/15
U.S. Agency for International Development,Multilateral,,480001662,Direct Appropriation,Emergency Assistance to support,Venezuela,Implementation,1209707,9/20/18,9/20/18,9/30/19,,1209707,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,2112000,4/1/14,3/31/14,3/31/20,,300000,6/30/16,2016,3,Commitment,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2015,2016,6/30/16
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/05,10/1/15,9/30/16,,46484.63,12/31/15,2016,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/15
Department of State,,,Information Redacted,,Information Redacted,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,129382,12/14/17,2018,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/07,10/1/12,9/30/13,,24658,3/31/13,2013,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/13
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/15,9/30/16,,140681.19,9/30/16,2016,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/16
U.S. Agency for International Development,National NGO,,927923250,Direct Appropriation,National Assembly,Venezuela,Implementation,3500000,9/30/16,9/30/16,9/30/20,,145000,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,9/30/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,1950000,9/9/13,9/9/13,10/31/15,,6663.51,3/31/16,2016,2,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,3/31/16
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,200000,6/30/13,2013,3,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,6/30/13
Department of State,,,Information Redacted,,Information Redacted,Venezuela,Implementation,0,3/15/19,,,Original - COOPERATIVE AGREEMENTS,6000000,3/15/19,2019,2,Commitment,Standard grant,Project-type interventions,Untied,Multisector aid,Multi-sector,2019,2019,7/16/19
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,20000,5/8/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,10/21/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,400000,9/30/13,2013,4,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,9/30/13
U.S. Agency for International Development,National NGO,United States,,Direct Appropriation,Emergency award with FFP and OFDA for South America response,Venezuela,Implementation,1188500,9/15/18,9/15/18,7/31/19,,84062.34,4/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Emergency food assistance,Humanitarian Assistance,2018,0,4/30/19
U.S. Agency for International Development,National NGO,United States,927923250,Direct Appropriation,Sectoral Planning by Democratic Stakeholders,Venezuela,Implementation,433079.67,10/1/18,9/30/18,9/30/20,,666000,3/31/19,2019,2,Commitment,Standard grant,Project-type interventions,Tied,Public finance management (PFM),"Democracy, Human Rights, and Governance",2018,2019,3/31/19
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,0,9/24/12,9/24/12,9/30/17,,30000,6/30/14,2014,3,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,6/30/14
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,1112000,4/1/14,3/31/14,3/31/20,,9207,12/31/15,2016,1,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2013,2014,12/31/15
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,1950000,9/9/13,9/9/13,10/31/15,,384.26,3/31/16,2016,2,Disbursement,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2012,2017,3/31/16
Department of State,,,Information Redacted,,Emergency Assistance for VZ,Venezuela,,0,,,,Original - VOLUNTARY CONTRIBUTIONS,263696,4/25/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,0,12/5/19
U.S. Agency for International Development,,,,Direct Appropriation,Emergency Assistance to support,Venezuela,Implementation,1209707,9/20/18,9/20/18,3/31/20,,243623,7/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,11/22/19
U.S. Agency for International Development,National NGO,United States,927923250,Direct Appropriation,National Assembly,Venezuela,Implementation,2000000,9/30/16,9/30/16,9/30/20,,735303.43,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2018,2019,11/22/19
Department of State,,,Information Redacted,,From Repression to Action Transforming Youth Lead,Venezuela,,0,,,,Original - GRANTS,6000,5/8/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,10/21/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/13,9/30/14,,-267.96,6/30/14,2014,3,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2010,2011,6/30/14
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/07,10/1/12,9/30/13,,25905.01,6/30/13,2013,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/13
U.S. Agency for International Development,National NGO,,927923250,Direct Appropriation,Sectoral Planning by Democratic Stakeholders,Venezuela,Implementation,433079.67,10/1/18,9/30/18,9/30/20,,267763.88,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,12/31/18
U.S. Agency for International Development,,,790238638,Direct Appropriation,Administration and Oversight,Venezuela,Implementation,104345.12,,10/1/17,9/30/19,,12492.89,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,3/31/19
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,0,9/24/12,9/24/12,9/30/17,,9658.04,12/31/14,2015,1,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,12/31/14
